Data;Aposentadoria;Estoque
2020-04-28;;50787
2020-04-29;;114144
2020-04-30;;114144
2020-05-04;;114144
2020-05-05;;401213
2020-05-06;;401213
2020-05-07;;401213
2020-05-08;;471676
2020-05-11;;471676
2020-05-12;;582912
2020-05-13;;582912
2020-05-14;;583549
2020-05-15;;583954
2020-05-18;;584018
2020-05-19;;640225
2020-05-20;;643266
2020-05-21;;648446
2020-05-22;;648712
2020-05-25;;649834
2020-05-26;;696508
2020-05-27;;696508
2020-05-28;;702026
2020-05-29;;728385
2020-06-01;;728574
2020-06-02;;728574
2020-06-03;;728818
2020-06-04;;731888
2020-06-05;;731952
2020-06-08;;733007
2020-06-09;;733133
2020-06-10;;744470
2020-06-12;;744470
2020-06-15;;744649
2020-06-16;;744773
2020-06-17;;762254
2020-06-18;;762254
2020-06-19;;786772
2020-06-22;;797757
2020-06-23;;821151
2020-06-24;;821730
2020-06-25;;1050218
2020-06-26;;1076169
2020-06-29;;1098144
2020-06-30;;1223163
2020-07-01;;1243188
2020-07-02;;1248734
2020-07-03;;1249113
2020-07-06;;1308306
2020-07-07;;1560839
2020-07-08;;1622057
2020-07-09;;1631604
2020-07-10;;1653203
2020-07-13;;1664214
2020-07-14;;1664835
2020-07-15;;1737055
2020-07-16;;1921402
2020-07-17;;2049779
2020-07-20;;2092872
2020-07-21;;2177732
2020-07-22;;2202533
2020-07-23;;2649139
2020-07-24;;2698599
2020-07-27;;2899600
2020-07-28;;2993074
2020-07-29;;3071438
2020-07-30;;3831834
2020-07-31;;3960413
2020-08-03;18,0;4033551
2020-08-04;;4744158
2020-08-05;;5058695
2020-08-06;;5047457
2020-08-07;55,0;5214388
2020-08-10;;5272304
2020-08-11;;5298810
2020-08-12;;5326233
2020-08-17;;5612676
2020-08-18;;5652449
2020-08-19;;5718936
2020-08-20;;5885538
2020-08-21;;6065252
2020-08-24;;6161968
2020-08-25;;6258891
2020-08-26;;6325122
2020-08-27;;6450616
2020-08-28;;6563367
2020-08-31;;6948589
2020-09-01;;7018091
2020-09-02;;7077216
2020-09-03;;7185744
2020-09-04;;7570224
2020-09-08;;7662516
2020-09-09;4,0;7704716
2020-09-10;;7769508
2020-09-11;;7813589
2020-09-14;;7967884
2020-09-15;;8086873
2020-09-16;5751,0;8125783
2020-09-17;;8170879
2020-09-18;28250,0;8303624
2020-09-21;;8762864
2020-09-22;;8840868
2020-09-23;1000,0;9034200
2020-09-24;10000,0;9126817
2020-09-25;13953,0;9193245
2020-09-28;9000,0;9229137
2020-09-29;20800,0;9333019
2020-09-30;29000,0;9461627
2020-10-01;3000,0;9506750
2020-10-02;397,0;9565091
2020-10-05;10945,0;9664319
2020-10-06;;10020391
2020-10-07;30,0;10069633
2020-10-08;114,0;10197717
2020-10-09;;10226980
2020-10-13;;10418730
2020-10-14;;10618032
2020-10-15;;10712553
2020-10-16;;10753035
2020-10-19;;10822943
2020-10-20;;11193734
2020-10-21;;11425990
2020-10-22;;11615368
2020-10-23;95000,0;11796891
2020-10-26;;11977284
2020-10-27;;12201466
2020-10-28;6338,0;12292055
2020-10-29;2600,0;12305156
