Data;Ativo;Núm. de Negócios;Qtde Negociada;Preço Mínimo;Preço Médio;Preço Máximo;Valor Financeiro;Liquidação
2020-06-15;CBIO;2;200;50,0;50,5;51,0;10100,0;D0
2020-06-25;CBIO;2;4000;15,0;15,0;15,0;60000,0;D0
2020-06-30;CBIO;1;2000;15,0;15,0;15,0;30000,0;D0
2020-07-01;CBIO;1;2000;18,0;18,0;18,0;36000,0;D0
2020-07-03;CBIO;2;2000;21,0;21,0;21,0;42000,0;D0
2020-07-06;CBIO;2;2000;20,0;20,0;20,0;40000,0;D0
2020-07-10;CBIO;6;10038;20,0;20,0;20,0;200760,0;D0
2020-07-17;CBIO;5;10450;20,0;20,0;20,0;209000,0;D0
2020-07-20;CBIO;1;245;20,0;20,0;20,0;4900,0;D0
2020-07-21;CBIO;4;4000;20,0;20,0;20,0;80000,0;D0
2020-07-23;CBIO;3;6000;20,0;20,166666;20,5;121000,0;D0
2020-07-24;CBIO;11;40500;18,0;19,66666667;20,0;809000,0;D0
2020-07-27;CBIO;2;4975;19,8;19,9;20,0;99490,0;D0
2020-07-28;CBIO;66;55000;20,0;20,0;20,0;1100000,0;D0
2020-07-29;CBIO;3;1195;20,0;20,0;20,0;23900,0;D0
2020-07-30;CBIO;2;200;20,0;20,0;20,0;4000,0;D0
2020-07-31;CBIO;2;1950;19,5;19,5;19,5;38025,0;D0
2020-08-03;CBIO;4;256;20,0;21,0;22,0;5332,0;D0
2020-08-04;CBIO;5;6190;19,0;20,33333333;22,0;117880,0;D0
2020-08-05;CBIO;8;4394;20,0;20,8;22,0;88784,0;D0
2020-08-06;CBIO;13;8500;19,5;19,92;20,5;168900,0;D0
2020-08-07;CBIO;30;40400;20,0;20,0;20,0;808000,0;D0
2020-08-10;CBIO;1;1474;20,0;20,0;20,0;29480,0;D0
2020-08-11;CBIO;9;44460;20,0;20,157048;20,25;899200,0;D0
2020-08-13;CBIO;2;10000;20,0;20,0;20,0;200000,0;D0
2020-08-14;CBIO;16;45000;19,5;19,75;20,0;888500,0;D0
2020-08-17;CBIO;1;5000;20,0;20,0;20,0;100000,0;D0
2020-08-19;CBIO;2;11400;20,0;20,0;20,0;228000,0;D0
2020-08-20;CBIO;12;16728;20,0;20,0;20,0;334560,0;D0
2020-08-21;CBIO;10;48920;19,5;19,757075;20,0;963824,5;D0
2020-08-24;CBIO;2;20000;19,75;19,75;19,75;395000,0;D0
2020-08-25;CBIO;2;4000;19,75;19,75;19,75;79000,0;D0
