Project ID;Year;Retired Credits;Issued Credits;Vintage Credits
ACR103;2005;66,0;13848,0;4409,0
ACR107;2008;127,0;1138,0;128,0
ACR113;2006;60,0;29269,0;119996,0
ACR113;2007;1158,0;495293,0;127178,0
ACR113;2008;2155,0;124400,0;122579,0
ACR114;2011;3,0;42898,0;16608,0
ACR114;2012;2843,0;16608,0;369621,0
ACR114;2013;268,0;254496,0;477297,0
ACR114;2014;44780,0;115125,0;182626,0
ACR114;2015;33825,0;659923,0;1054928,0
ACR114;2017;226398,0;1054928,0;1107890,0
ACR114;2018;330063,0;1273866,0;307508,0
ACR114;2020;1139192,0;1670155,0;1179164,0
ACR114;2021;346341,0;1179164,0;804970,0
ACR117;2008;625000,0;3024628,0;370975,0
ACR119;2006;3687,0;196000,0;172771,0
ACR119;2007;9048,0;256166,0;156075,0
ACR119;2008;76170,0;133882,0;122404,0
ACR119;2009;52000,0;113649,0;108593,0
ACR119;2010;27564,0;115244,0;128923,0
ACR119;2011;5732,0;109946,0;40121,0
ACR120;2007;172828,0;892710,0;653281,0
ACR121;2007;200000,0;2231178,0;504139,0
ACR121;2008;206500,0;635337,0;509831,0
ACR126;2012;5000,0;409787,0;502389,0
ACR126;2013;14100,0;464652,0;639196,0
ACR126;2014;59798,0;346334,0;278098,0
ACR126;2015;228791,0;419029,0;470530,0
ACR163;2005;303,0;1000,0;3266,0
ACR163;2006;2290,0;3792,0;61164,0
ACR163;2007;39566,0;110583,0;49419,0
ACR182;2014;82297,0;86628,0;8121,0
ACR188;2015;22241,0;6934,0;6945,0
ACR189;2014;219084,0;219084,0;5805,0
ACR189;2017;12267,0;12401,0;6281,0
ACR189;2020;11850,0;10837,0;6055,0
ACR190;2017;53433,0;23610,0;24835,0
ACR190;2020;51752,0;50217,0;29681,0
ACR193;2014;69554,0;84418,0;84418,0
ACR195;2014;122080,0;122080,0;122080,0
ACR199;2014;816044,0;1165601,0;1165601,0
ACR200;2020;10176,0;29904,0;10176,0
ACR200;2023;770,0;8032,0;8940,0
ACR200;2024;13602,0;17480,0;8540,0
ACR202;2017;731728,0;38113,0;68490,0
ACR204;2014;148118,0;168870,0;38639,0
ACR207;2014;170321,0;208005,0;59123,0
ACR211;2017;3011454,0;247605,0;71757,0
ACR211;2020;294115,0;148272,0;13088,0
ACR212;2019;147908,0;545078,0;326425,0
ACR212;2020;228556,0;663903,0;210375,0
ACR221;2014;112378,0;112378,0;112378,0
ACR222;2018;1919,0;37238,0;16244,0
ACR223;2019;121027,0;147243,0;38078,0
ACR223;2022;10670,0;18844,0;17171,0
ACR226;2017;741923,0;271395,0;269823,0
ACR226;2020;298395,0;127576,0;105538,0
ACR232;2017;43254,0;50088,0;55174,0
ACR232;2020;229654,0;59299,0;37114,0
ACR233;2017;61080,0;54602,0;55058,0
ACR234;2017;27169,0;14787,0;14054,0
ACR234;2020;40727,0;10809,0;16323,0
ACR235;2017;6904,0;14985,0;7020,0
