Name of the initiative;Instrument Type;Year;Price;Revenue;Emissions
Albania Carbon tax;Carbon tax;2024;13,111355068777609;;0,00010835277538227946
Alberta carbon tax;Carbon tax;2017;15,026357172916342;692,7150656714433;0,0022396535078888636
Alberta carbon tax;Carbon tax;2018;23,25220494029061;1047,124295811087;0,0021962610283531294
Alberta carbon tax;Carbon tax;2019;22,493794976012794;1012,9705670864428;0,002197599999997085
Alberta TIER;ETS;2007;12,97;44,01168452;0,0034207350289303332
Alberta TIER;ETS;2008;14,6;69,84101875;0,0033224591512909115
Alberta TIER;ETS;2009;11,86;65,80645161;0,003250724830933038
Alberta TIER;ETS;2010;14,88;81,939973;0,0031700483809657767
Alberta TIER;ETS;2011;15,57;63,42643945;0,003193852125129068
Alberta TIER;ETS;2012;15,12;92,16091276;0,0032851764622842034
Alberta TIER;ETS;2013;14,75;85,60805296;0,0033850360862908027
Alberta TIER;ETS;2014;13,6;66,84110371;0,0034154976516222553
Alberta TIER;ETS;2015;11,89;63,92274086;0,003512160453161373
Alberta TIER;ETS;2016;15,37;103,9319383766383;0,003288239752067776
Alberta TIER;ETS;2017;22,539535759374512;101,8787016323728;0,003306155178312132
Alberta TIER;ETS;2018;23,25220494029061;352,0771364709003;0,0032420996132831907
Alberta TIER;ETS;2019;22,493794976012794;391,86159055274686;0,003244076190471887
Alberta TIER;ETS;2020;21,10149662688683;301,5755559592576;0,0031102669757149893
Alberta TIER;ETS;2021;31,834460803820136;292,28014325507365;0,002991521825816312
Alberta TIER;ETS;2022;39,9616368286445;475,94309462915595;0,002950951645056946
Alberta TIER;ETS;2023;48,030739673390975;638,4393704278431;0,002950951645056946
Alberta TIER;ETS;2024;58,94488653109343;;0,002950951645056946
Australia CPM;ETS;2012;23,89;3415,035255;
Australia CPM;ETS;2013;24,65;6226,79408;0,007182743782871757
Australia CPM;ETS;2014;22,37;2640,369258;0,006991326962919396
Australia Safeguard Mechanism;ETS;2024;21,903750000000002;;0,0027620429445695846
Austria ETS;ETS;2023;35,34374999999999;917,0887499999999;0,000575010770972976
Austria ETS;ETS;2024;48,3705;;0,000575010770972976
Baja California carbon tax;Carbon tax;2021;8,317025440313111;1,1787181996086105;
BC carbon tax;Carbon tax;2008;9,73;145,2186981;
BC carbon tax;Carbon tax;2009;7,9;524,9627792;0,0010334121088789723
BC carbon tax;Carbon tax;2010;19,85;717,883477;0,0009774179327454557
BC carbon tax;Carbon tax;2011;25,96;912,0701825;0,0009658656569225782
BC carbon tax;Carbon tax;2012;30,25;1062,01436;0,0009945199215847962
BC carbon tax;Carbon tax;2013;29,5;1085,063934;0,0009662586003147493
BC carbon tax;Carbon tax;2014;27,2;954,6463685;0,0009437335022096164
BC carbon tax;Carbon tax;2015;23,78;932,0150226;0,0009574267477950129
BC carbon tax;Carbon tax;2016;23,06;920,5181267724381;0,0009693494013586293
BC carbon tax;Carbon tax;2017;22,539535759374512;932,385462579459;0,0009688366822892695
BC carbon tax;Carbon tax;2018;27,127572430339043;1091,8847903211465;0,0009771338603726124
BC carbon tax;Carbon tax;2019;29,991726634683722;1220,6632740316275;0,0009589527272714554
BC carbon tax;Carbon tax;2020;28,13532883584911;1118,7310128354502;0,0009322110823834616
BC carbon tax;Carbon tax;2021;35,813768404297655;2283,3267011539992;0,0008896158655401331
BC carbon tax;Carbon tax;2022;39,9616368286445;1757,1131713554987;0,0008775511444473782
BC carbon tax;Carbon tax;2023;48,030739673390975;1958,1763097613243;0,0008775511444473782
BC carbon tax;Carbon tax;2024;58,94488653109343;;0,0008775511444473782
BC OBPS;ETS;2021;19,896538002387587;;0,0
BC OBPS;ETS;2022;19,98081841432225;;0,0
BC OBPS;ETS;2023;18,47336141284268;;0,0
BC OBPS;ETS;2024;58,94488653109343;;0,0
Beijing pilot ETS;ETS;2014;8,51;0,0;0,0008985132702832571
Beijing pilot ETS;ETS;2015;8,21;0,0;0,0009004598563012097
Beijing pilot ETS;ETS;2016;8,03;0,0;0,0008967276511256958
Beijing pilot ETS;ETS;2017;7,396583184314999;0,0;0,0008817976448642496
Beijing pilot ETS;ETS;2018;9,440402551915028;0,0;0,0006085823278464124
Beijing pilot ETS;ETS;2019;10,402286780383795;0,0;0,0006712669090900188
Beijing pilot ETS;ETS;2020;12,204220523334513;0,0;0,0006261614439806199
Beijing pilot ETS;ETS;2021;4,323279666433333;0,0;0,0005975504534128046
Beijing pilot ETS;ETS;2022;6,527961250550418;17,77064855004089;0,0005894466416008406
Beijing pilot ETS;ETS;2023;12,957705466986969;23,43451990973284;0,0005894466416008406
Beijing pilot ETS;ETS;2024;14,512183323428193;;0,0005894466416008406
California CaT;ETS;2012;10,0;55,76;0,0029748526205638738
California CaT;ETS;2013;14,48;476,7979802;0,0029462548575351763
California CaT;ETS;2014;11,69;437,1072159;0,002887891988850435
California CaT;ETS;2015;12,49;2558,161288;0,006365053602759186
California CaT;ETS;2016;12,8;901,0963088800002;0,006280656314204209
California CaT;ETS;2017;15,08;2024,1677884800001;0,006208330462346602
California CaT;ETS;2018;15,1;3020,0;0,006065580576452015
California CaT;ETS;2019;15,77;3064,74986077;0,006096518370346892
California CaT;ETS;2020;15,3;1698,32;0,005610324377089602
California CaT;ETS;2021;17,94;3992,3;0,005634529851101522
California CaT;ETS;2022;30,82;4027,4;0,005558115936089936
California CaT;ETS;2023;29,84;4720,55963813;0,005558115936089936
California CaT;ETS;2024;38,59;;0,005558115936089936
Canada federal fuel charge;Carbon tax;2019;14,995863317341861;1461,5343285664312;
Canada federal fuel charge;Carbon tax;2020;21,10149662688683;3010,8318770463025;0,004356018526798563
Canada federal fuel charge;Carbon tax;2021;31,834460803820136;4777,357739753284;0,004283261673602969
Canada federal fuel charge;Carbon tax;2022;39,9616368286445;5895,540281329922;0,004361933676677334
Canada federal fuel charge;Carbon tax;2023;48,030739673390975;5719,352693416095;0,004361933676677334
Canada federal fuel charge;Carbon tax;2024;58,94488653109343;;0,004361933676677334
Canada federal OBPS;ETS;2021;31,834460803820136;262,6343016315161;0,00013816973140654739
